CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Calle Corominas,15,VISTA ÓPTICA,Salut - Òptica,Òptica,Òptica,41.547038,2.104435,http://www.vistaoptica.com,937273752,,qdq_2026,,1,Calle Corominas 15,
,Calle Escola Industrial,13,OPTICA MARTIN,Salut - Òptica,Òptica,Òptica,41.547743,2.106533,,937259342,,qdq_2026,,1,Calle Escola Industrial 13,
,Plaza Sant Roc,22,COTTET ÒPTICS,Salut - Òptica,Òptica,Òptica,41.545953,2.108259,http://www.cottet.es,937466192,,qdq_2026,,1,Plaza Sant Roc 22,
,Calle Sant Cugat,22,ÒPTICA SAMARANCH,Salut - Òptica,Òptica,Òptica,41.545659,2.105192,,937277014,,qdq_2026,,1,Calle Sant Cugat 22,
,Passeig Plaça Major,1,OPTICA ANDORRANA,Salut - Òptica,Òptica,Òptica,41.546833,2.108864,,937250485,,qdq_2026,,1,Passeig Plaça Major 1,
,Calle Rambla,5-7,GENERAL ÓPTICA,Salut - Òptica,Òptica,Òptica,41.546018,2.109250,http://www.generaloptica.es,937255555,,qdq_2026,,1,Calle Rambla 5-7,
,Calle Rambla,41,RIBAS OPTICS,Salut - Òptica,Òptica,Òptica,41.544997,2.109791,,937259967,,qdq_2026,,1,Calle Rambla 41,
,Passeig Manresa,24,MULTIÓPTICAS PORTA,Salut - Òptica,Òptica,Òptica,41.548706,2.108272,,937259364,,qdq_2026,,1,Passeig Manresa 24,
,Calle Puigcerdà,2 Bis,CENTRE DE GINER DE PSICOLOGÍA,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.545378,2.101175,http://www.cginer.es,931001877,,qdq_2026,,1,Calle Puigcerdà 2 Bis,
,Calle Escola Industrial,3,PSIQUE CENTRO DE PSICOLOGÍA,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.547869,2.106688,,667715303,,qdq_2026,,1,Calle Escola Industrial 3,
,Carrer Vallès,42,VEIE SABADELL,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.5471106,2.100904,,660011094,,qdq_2026,,1,Carrer Vallès 42,
